Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Full Time
51G1247,428405,432473,2,6,U,3,4,4,E08000035,1,1,3,1,28,2018-01-16 16:45:00
51G1268,431010,428483,1,5,C,3,4,3,E08000035,9,3,2,1,52,2018-01-16 17:05:00
51G1332,427732,425798,1,3,A653,3,4,6,E08000035,3,1,3,1,23,2018-01-16 17:25:00
51G1508,425482,438746,2,6,U,3,4,3,E08000035,9,1,3,1,24,2018-01-22 18:39:00
51G1876,432513,427318,2,3,A61,3,4,3,E08000035,9,1,3,2,29,2018-01-16 21:20:00
51G2091,432405,426229,2,1,M1,2,7,1,E08000035,9,1,3,2,55,2018-01-16 22:14:00
51H0354,425900,434497,2,6,U,3,1,2,E08000035,9,1,3,1,42,2018-01-17 08:50:00
51H0915,439344,432363,2,3,A63,2,1,1,E08000035,4,1,2,1,21,2018-05-09 14:15:00
51H1013,433394,435105,1,6,U,2,1,2,E08000035,9,1,2,2,36,2018-01-17 15:00:00
51H1034,431434,431599,2,3,A639,2,4,2,E08000035,9,1,3,2,42,2018-01-16 08:40:00
51H1037,430874,433376,2,6,U,1,1,1,E08000035,1,1,2,1,36,2018-01-17 15:10:00
51I0259,426643,433874,1,3,A647,1,7,1,E08000035,11,3,3,1,23,2018-01-18 07:20:00
51I0448,419531,441575,2,3,A65,4,1,8,E08000035,9,1,3,2,39,2018-01-18 09:20:00
51I0448,419531,441575,2,3,A65,4,1,8,E08000035,9,1,3,1,38,2018-01-18 09:20:00
51I0504,430770,433453,1,6,U,1,1,1,E08000035,11,2,3,2,46,2018-01-18 08:28:00
51I0504,430770,433453,1,6,U,1,1,1,E08000035,11,2,3,2,27,2018-01-18 08:28:00
51I0890,437771,433085,2,3,A6120,1,1,1,E08000035,9,2,3,1,29,2018-01-18 14:20:00
